set,lens,layer,hits,n,rate,ci_lo,ci_hi
poetry,control,38,0,98,0.0,0.0,0.037719990121680605
poetry,control,39,0,98,0.0,0.0,0.037719990121680605
poetry,control,40,0,98,0.0,0.0,0.037719990121680605
poetry,control,41,0,98,0.0,0.0,0.037719990121680605
poetry,control,42,1,98,0.01020408163265306,0.0018035477567974675,0.055554809913420274
poetry,control,43,0,98,0.0,0.0,0.037719990121680605
poetry,control,44,0,98,0.0,0.0,0.037719990121680605
poetry,control,45,0,98,0.0,0.0,0.037719990121680605
poetry,control,46,0,98,0.0,0.0,0.037719990121680605
poetry,control,47,0,98,0.0,0.0,0.037719990121680605
poetry,control,48,0,98,0.0,0.0,0.037719990121680605
poetry,control,49,0,98,0.0,0.0,0.037719990121680605
poetry,control,50,0,98,0.0,0.0,0.037719990121680605
poetry,control,51,0,98,0.0,0.0,0.037719990121680605
poetry,control,52,0,98,0.0,0.0,0.037719990121680605
poetry,control,53,0,98,0.0,0.0,0.037719990121680605
poetry,control,54,0,98,0.0,0.0,0.037719990121680605
poetry,control,55,0,98,0.0,0.0,0.037719990121680605
poetry,control,56,0,98,0.0,0.0,0.037719990121680605
poetry,control,57,0,98,0.0,0.0,0.037719990121680605
poetry,control,58,0,98,0.0,0.0,0.037719990121680605
poetry,control,59,0,98,0.0,0.0,0.037719990121680605
poetry,control,60,0,98,0.0,0.0,0.037719990121680605
poetry,control,61,0,98,0.0,0.0,0.037719990121680605
poetry,control,62,0,98,0.0,0.0,0.037719990121680605
poetry,logit,0,0,98,0.0,0.0,0.037719990121680605
poetry,logit,1,0,98,0.0,0.0,0.037719990121680605
poetry,logit,2,0,98,0.0,0.0,0.037719990121680605
poetry,logit,3,0,98,0.0,0.0,0.037719990121680605
poetry,logit,4,0,98,0.0,0.0,0.037719990121680605
poetry,logit,5,0,98,0.0,0.0,0.037719990121680605
poetry,logit,6,0,98,0.0,0.0,0.037719990121680605
poetry,logit,7,0,98,0.0,0.0,0.037719990121680605
poetry,logit,8,0,98,0.0,0.0,0.037719990121680605
poetry,logit,9,0,98,0.0,0.0,0.037719990121680605
poetry,logit,10,0,98,0.0,0.0,0.037719990121680605
poetry,logit,11,0,98,0.0,0.0,0.037719990121680605
poetry,logit,12,0,98,0.0,0.0,0.037719990121680605
poetry,logit,13,0,98,0.0,0.0,0.037719990121680605
poetry,logit,14,0,98,0.0,0.0,0.037719990121680605
poetry,logit,15,0,98,0.0,0.0,0.037719990121680605
poetry,logit,16,0,98,0.0,0.0,0.037719990121680605
poetry,logit,17,0,98,0.0,0.0,0.037719990121680605
poetry,logit,18,0,98,0.0,0.0,0.037719990121680605
poetry,logit,19,0,98,0.0,0.0,0.037719990121680605
poetry,logit,20,0,98,0.0,0.0,0.037719990121680605
