config,layer,cos_to_j,cos_to_r,cos_to_released_j,cos_to_released_r
ln+half,2,0.7250081896781921,0.9793147444725037,0.7674984931945801,0.9641627073287964
ln+half,3,0.7596346139907837,0.9786509275436401,0.7871032357215881,0.9669665694236755
ln+half,4,0.7860004901885986,0.9807184934616089,0.8002014756202698,0.9721258878707886
ln+half,5,0.7999135851860046,0.9828765392303467,0.8056775331497192,0.9756717681884766
ln+half,6,0.805456280708313,0.9836159944534302,0.8128534555435181,0.9770348072052002
ln+half,7,0.8220095038414001,0.9851199984550476,0.8271135687828064,0.9792440533638
ln+half,8,0.8354715704917908,0.9867912530899048,0.8381735682487488,0.9818822741508484
ln+half,9,0.850020706653595,0.9879935383796692,0.8518492579460144,0.9838575720787048
ln+half,10,0.8597272634506226,0.989008367061615,0.8598775267601013,0.985519528388977
ln+half,11,0.8723574876785278,0.9899704456329346,0.8716069459915161,0.9869475960731506
ln+half,12,0.877627432346344,0.9901498556137085,0.8762979507446289,0.9873989224433899
ln+half,13,0.8842360973358154,0.9904376864433289,0.8827849626541138,0.9879531264305115
ln+half,14,0.8878695964813232,0.9907551407814026,0.8866079449653625,0.9885597825050354
ln+half,15,0.8958569765090942,0.9910003542900085,0.8944535255432129,0.9889428615570068
ln+half,16,0.8982252478599548,0.9912595152854919,0.8967786431312561,0.9894811511039734
ln+half,17,0.9090947508811951,0.9919405579566956,0.9075176119804382,0.9904042482376099
ln+half,18,0.9254453778266907,0.9930170774459839,0.9245260953903198,0.9916213154792786
ln+half,19,0.9417638182640076,0.9938008785247803,0.9404529333114624,0.9925573468208313
ln+half,20,0.9536765813827515,0.9945168495178223,0.9524317979812622,0.9934440851211548
ln+half,21,0.9621819853782654,0.9951155185699463,0.9610530734062195,0.9941398501396179
ln+half,22,0.9711135029792786,0.9966686367988586,0.9700332880020142,0.9959253072738647
ln+half,23,0.9777418375015259,0.9971731901168823,0.9769837856292725,0.9966447353363037
ln+half,24,0.9818643927574158,0.9976087808609009,0.9813515543937683,0.9972047209739685
ln+half,25,0.984915554523468,0.9980118870735168,0.9845913052558899,0.9977298974990845
ln+half,26,0.9883460998535156,0.9986112713813782,0.9881943464279175,0.9984453916549683
ln+half,27,0.9922232031822205,0.9993636012077332,0.9922178387641907,0.9992984533309937
ln+half,28,0.9952470064163208,1.0002843141555786,0.9952332973480225,1.0002455711364746
ln+half,29,0.9986257553100586,1.0014227628707886,0.9985815286636353,1.0013949871063232
ln+half,30,1.0,1.0,1.0,1.0
r,0,0.637320876121521,1.0011552572250366,0.6729536056518555,0.9798452258110046
r,1,0.6809303164482117,1.001304030418396,0.7286617159843445,0.9826789498329163
r,2,0.7190605401992798,1.0014442205429077,0.759408712387085,0.9868784546852112
r,3,0.7498769760131836,1.0014804601669312,0.7770174145698547,0.9909452199935913
r,4,0.7746438384056091,1.001463770866394,0.7886643409729004,0.9937886595726013
r,5,0.7890714406967163,1.001538872718811,0.7946515083312988,0.9948755502700806
r,6,0.7927971482276917,1.0014219284057617,0.7997898459434509,0.9954819083213806
r,7,0.8096529245376587,1.0012431144714355,0.8147112727165222,0.9959987998008728
r,8,0.8242322206497192,1.0010027885437012,0.8268364071846008,0.996578574180603
r,9,0.8398458957672119,1.0011011362075806,0.8415717482566833,0.9973418712615967
r,10,0.8501109480857849,1.0012140274047852,0.8502045273780823,0.9980696439743042
r,11,0.8631198406219482,1.001135230064392,0.8622270822525024,0.9983553886413574
r,12,0.8679012060165405,1.0010185241699219,0.8664600253105164,0.9985167980194092
