config,layer,cos_to_j,cos_to_released_j,cos_to_released_r
identity,52,0.9882164001464844,0.9667219519615173,0.9643440246582031
identity,53,0.9897364974021912,0.9710237979888916,0.9698214530944824
identity,54,0.9926607012748718,0.9755252599716187,0.9745464324951172
identity,55,0.9940153360366821,0.9799771904945374,0.9799855351448059
identity,56,0.9952780604362488,0.9844557046890259,0.9849424958229065
identity,57,0.9965219497680664,0.9880814552307129,0.9888076782226562
identity,58,0.998373806476593,0.9920446872711182,0.9925357699394226
identity,59,1.0011273622512817,0.9976068139076233,0.9982033371925354
identity,60,1.004895806312561,1.0025442838668823,1.0027481317520142
identity,61,1.008373737335205,1.0068814754486084,1.0063589811325073
identity,62,1.0,1.0,1.0
half,0,0.50639808177948,0.5120030045509338,0.6752622723579407
half,1,0.5029276609420776,0.527856707572937,0.6912558674812317
half,2,0.5125337243080139,0.5490415692329407,0.7170203328132629
half,3,0.5264155864715576,0.5682321786880493,0.7429576516151428
half,4,0.5512310862541199,0.5934212803840637,0.7627478837966919
half,5,0.5710443258285522,0.6051009297370911,0.7744983434677124
half,6,0.539533793926239,0.5910317897796631,0.7665726542472839
half,7,0.5640364289283752,0.6054739356040955,0.773874044418335
half,8,0.5912367701530457,0.6205869317054749,0.7842358350753784
half,9,0.6100042462348938,0.6344371438026428,0.7931618094444275
half,10,0.6304583549499512,0.6471644639968872,0.803193211555481
half,11,0.6464779376983643,0.6556916236877441,0.8083257079124451
half,12,0.658654510974884,0.66817307472229,0.8184307813644409
half,13,0.6771196126937866,0.6780129075050354,0.8236733078956604
half,14,0.6933477520942688,0.6882734894752502,0.8295580148696899
half,15,0.7154379487037659,0.7029663324356079,0.8343261480331421
half,16,0.712679386138916,0.705098569393158,0.8508034348487854
half,17,0.7228769659996033,0.7115607261657715,0.8602350950241089
half,18,0.7218208909034729,0.7364588975906372,0.8613088130950928
half,19,0.730381965637207,0.7316243052482605,0.8592151403427124
half,20,0.7434801459312439,0.7386408448219299,0.8688041567802429
half,21,0.7557613849639893,0.7425136566162109,0.8759496808052063
half,22,0.7661294341087341,0.749296247959137,0.880704402923584
half,23,0.7838373780250549,0.7611115574836731,0.8872308135032654
half,24,0.798987865447998,0.7739641666412354,0.8955209851264954
half,25,0.8133196234703064,0.7869821190834045,0.9032822251319885
half,26,0.8231555819511414,0.7957908511161804,0.9096620082855225
half,27,0.8313472867012024,0.8033004999160767,0.9128239154815674
half,28,0.8349830508232117,0.8092741370201111,0.9174844026565552
half,29,0.8405873775482178,0.8131625056266785,0.9196078777313232
half,30,0.8448543548583984,0.8157305717468262,0.9217585921287537
half,31,0.852401614189148,0.8203680515289307,0.9230868816375732
half,32,0.8567314743995667,0.82850581407547,0.931056559085846
half,33,0.8620602488517761,0.8349446058273315,0.9360969066619873
half,34,0.8696678876876831,0.849030613899231,0.9421945810317993
half,35,0.8769431710243225,0.8577552437782288,0.9466511011123657
half,36,0.8850179314613342,0.8697153925895691,0.9528151154518127
half,37,0.8928703665733337,0.8788504004478455,0.9570223689079285
half,38,0.9004833698272705,0.8871508836746216,0.9596275687217712
half,39,0.9099162220954895,0.8962787985801697,0.9626880288124084
half,40,0.9194480776786804,0.9055576324462891,0.9655174016952515
half,41,0.9271908402442932,0.9119625091552734,0.9684306979179382
half,42,0.9326785802841187,0.9167882800102234,0.9704545736312866
half,43,0.9387843012809753,0.9228819012641907,0.97274249792099
half,44,0.943606972694397,0.927739143371582,0.9742324948310852
half,45,0.9480793476104736,0.9320935606956482,0.9752833843231201
half,46,0.9517443776130676,0.935393214225769,0.9762851595878601
half,47,0.9565857648849487,0.9407323598861694,0.9776545166969299
half,48,0.9612846970558167,0.9464102983474731,0.9796251058578491
half,49,0.966987669467926,0.9538850784301758,0.9818729162216187
half,50,0.974277675151825,0.9633874297142029,0.9852599501609802
half,51,0.9833751320838928,0.9746187329292297,0.9891068339347839
half,52,0.988071084022522,0.981090784072876,0.9923341870307922
half,53,0.9911383986473083,0.9852515459060669,0.9942944049835205
half,54,0.9942535161972046,0.9888411164283752,0.9965847730636597
half,55,0.9971152544021606,0.9933746457099915,0.9993292689323425
half,56,0.9993911981582642,0.9964404702186584,1.0012811422348022
half,57,1.0012390613555908,0.998772919178009,1.0027705430984497
half,58,1.0030715465545654,1.000970721244812,1.0041749477386475
half,59,1.0053601264953613,1.0046062469482422,1.0068602561950684
half,60,1.0074738264083862,1.0067315101623535,1.0081666707992554
half,61,1.008786916732788,1.0079457759857178,1.0085543394088745
half,62,1.0,1.0,1.0
ln+identity,0,0.20843642950057983,0.13189023733139038,0.12851326167583466
ln+identity,1,0.22460360825061798,0.13699230551719666,0.13099361956119537
ln+identity,2,0.22435976564884186,0.14345848560333252,0.13610237836837769
ln+identity,3,0.20715931057929993,0.14779281616210938,0.14022532105445862
ln+identity,4,0.20113913714885712,0.16311027109622955,0.15298300981521606
ln+identity,5,0.20713253319263458,0.17840813100337982,0.16463464498519897
ln+identity,6,0.20003457367420197,0.13807642459869385,0.13246817886829376
ln+identity,7,0.19710052013397217,0.14367301762104034,0.1374688446521759
